Year,Country of Residence,Month,Arrivals,Month_Num,Date
2008,THAILAND,April,3086.0,4,2008-04-01
2008,UNITED ARAB EMIRATES,April,916.0,4,2008-04-01
2008,UNITED KINGDOM,April,7863.0,4,2008-04-01
2008,USA,April,47013.0,4,2008-04-01
2008,VENEZUELA,April,26.0,4,2008-04-01
2008,VIETNAM,April,1667.0,4,2008-04-01
2008,ARGENTINA,May,58.0,5,2008-05-01
2008,AUSTRALIA,May,9630.0,5,2008-05-01
2008,AUSTRIA,May,555.0,5,2008-05-01
2008,BAHRAIN,May,221.0,5,2008-05-01
2008,BANGLADESH,May,202.0,5,2008-05-01
2008,BELGIUM,May,571.0,5,2008-05-01
2008,BRAZIL,May,116.0,5,2008-05-01
2008,BRUNEI,May,252.0,5,2008-05-01
2008,CAMBODIA,May,112.0,5,2008-05-01
2008,CANADA,May,8432.0,5,2008-05-01
2008,CHINA,May,13994.0,5,2008-05-01
2008,COLOMBIA,May,52.0,5,2008-05-01
2008,DENMARK,May,805.0,5,2008-05-01
2008,EGYPT,May,5.0,5,2008-05-01
2008,FINLAND,May,194.0,5,2008-05-01
2008,FRANCE,May,1577.0,5,2008-05-01
2008,GERMANY,May,3630.0,5,2008-05-01
2008,GREECE,May,142.0,5,2008-05-01
2008,GUAM,May,3674.0,5,2008-05-01
2008,INDIA,May,3497.0,5,2008-05-01
2008,INDONESIA,May,2447.0,5,2008-05-01
2008,IRAN,May,404.0,5,2008-05-01
2008,IRELAND,May,448.0,5,2008-05-01
2008,ISRAEL,May,264.0,5,2008-05-01
2008,ITALY,May,1028.0,5,2008-05-01
2008,JAPAN,May,28614.0,5,2008-05-01
2008,JORDAN,May,40.0,5,2008-05-01
2008,KOREA,May,49476.0,5,2008-05-01
2008,KUWAIT,May,278.0,5,2008-05-01
2008,LAOS,May,51.0,5,2008-05-01
2008,LUXEMBOURG,May,25.0,5,2008-05-01
2008,MALAYSIA,May,5561.0,5,2008-05-01
2008,MEXICO,May,92.0,5,2008-05-01
2008,MYANMAR,May,455.0,5,2008-05-01
2008,NEPAL,May,138.0,5,2008-05-01
